RowIndex,Meteorology_Total,SMG_Total,Meteorology_ObjectNames,SMG_ObjectNames,Meteorology_Makers,SMG_Makers,Meteorology_organisations/institutions,SMG_organisations/institutions,Meteorology_Dates,SMG_Dates,Meteorology_Places,SMG_Places,Meteorology_Descriptions,SMG_Descriptions,Meteorology_Other,SMG_Other,Unique_to_Meteorology,Unique_to_SMG
10,10,9,1,2,1,1,1,1,1,1,0,1,5,2,1,1,"{""object_names"": [""GEODETIC TRIANGULATION STATION MARK""], ""makers"": [""Survey of Egypt""], ""organisations/institutions"": [""Survey of Egypt""], ""dates"": [""1922""], ""places"": [], ""descriptions"": [""This brass bolt forms the station mark at a geodetic station of the Survey of Egypt."", ""It is provided with two saw-cuts intersecting at right angles, and is cemented into a concrete block in the ground."", ""Accurately built into the concrete block is an iron cylinder filled with concrete, having gaps in the bottom so that the mark can be seen."", ""A brass and cast iron tribrach (see Cat. No. 14) is accurately centred over the mark and cemented in the top of the pillar."", ""Upon this tribrach the theodolite rests when sighting to the station, whilst to its centre is screwed a heliograph or lamp when sighting to the station.""], ""other"": [""Inv. 1920-630""]}","{""object_names"": [""triangulation station mark"", ""triangulation mark""], ""makers"": [""Unknown maker""], ""organisations/institutions"": [""Geodetic Survey of Egypt""], ""dates"": [""1910-1920""], ""places"": [""United Kingdom""], ""descriptions"": [""Bronze station mark for the First Order Triangulation of the Geodetic Survey of Egypt"", ""Surveying triangulation mark""], ""other"": [""Bronze""]}"
11,11,6,1,1,1,0,1,1,1,1,1,0,5,2,1,1,"{""object_names"": [""SELF-CENTRING GEODETIC STATION TRIBRACH""], ""makers"": [""Survey of Egypt""], ""organisations/institutions"": [""Survey of Egypt""], ""dates"": [""1920""], ""places"": [""Egypt""], ""descriptions"": [""brass tribrach"", ""built into a masonry pier and accurately centred over the concealed mark at geodetic stations"", ""three radial V-shaped grooves at angles of 120\u00b0 with one another"", ""self-centring stand for the three feet of a theodolite or signal lamp"", ""especially convenient in countries where the centring of signal lamps over the station point cannot always be entrusted to skilled operators""], ""other"": [""Inv. 1920-627""]}","{""object_names"": [""Self-centring station plate for the Survey of Egypt (\""spider\"")""], ""makers"": [], ""organisations/institutions"": [""Survey of Egypt""], ""dates"": [""1920""], ""places"": [], ""descriptions"": [""Surveying station plates"", ""station plates""], ""other"": []}"
12,8,4,1,1,1,0,1,0,1,1,0,0,3,2,1,0,"{""object_names"": [], ""makers"": [""Ordnance Survey""], ""organisations/institutions"": [""Ordnance Survey""], ""dates"": [""1922""], ""places"": [], ""descriptions"": [""First Order"", ""This bolt forms the upper reference point at a fundamental bench mark on the first order levelling lines of the Ordnance Survey."", ""It is fixed in the top of a granite block forming a pillar 12 in. high, and is the mark for use in all ordinary circumstances, its level being recorded on the topographical maps.""], ""other"": [""Inv. 1914-152""]}","{""object_names"": [], ""makers"": [], ""organisations/institutions"": [], ""dates"": [], ""places"": [], ""descriptions"": [""Bolt forming upper reference point on top of granite pillar at fundamental bench mark"", ""1914 Surveying bench mark; bench mark""], ""other"": []}"
13,8,4,1,2,1,0,1,0,1,1,0,0,3,1,1,0,"{""object_names"": [""BENCH MARK""], ""makers"": [""Ordnance Survey""], ""organisations/institutions"": [""Ordnance Survey""], ""dates"": [""1922""], ""places"": [], ""descriptions"": [""First Order"", ""This bolt forms one of the two concealed reference points at a fundamental bench mark of the Ordnance Survey. It is set in rock concrete 3 ft. below ground in a concrete recess 3 ft. square by 1 ft. 9 in. deep, and will be used when necessary to determine whether any secular changes of level are in progress.""], ""other"": [""Inv. 1914-151""]}","{""object_names"": [""Surveying bench mark"", ""bench mark""], ""makers"": [], ""organisations/institutions"": [], ""dates"": [""1914""], ""places"": [], ""descriptions"": [""Bolt forming one concealed reference point at a fundamental bench mark""], ""other"": []}"
14,7,9,1,1,1,1,1,1,1,1,0,1,2,3,1,1,"{""object_names"": [], ""makers"": [], ""organisations/institutions"": [], ""dates"": [], ""places"": [], ""descriptions"": [""This plate is affixed to the granite pillar of a fundamental bench mark of the Ordnance Survey.""], ""other"": [""Inv. 1914-153""]}","{""object_names"": [], ""makers"": [""Unknown maker""], ""organisations/institutions"": [], ""dates"": [], ""places"": [""United Kingdom""], ""descriptions"": [""Bronze name plate for a granite pillar at a fundamental bench mark, unsigned"", ""Surveying instrument component"", ""instrument component""], ""other"": []}"
15,7,5,1,1,1,0,1,0,1,1,0,0,2,2,1,1,"{""object_names"": [""COVER OF REFERENCE BENCH MARKS""], ""makers"": [""Ordnance Survey""], ""organisations/institutions"": [""Ordnance Survey""], ""dates"": [""1922""], ""places"": [], ""descriptions"": [""The cover is placed below ground in a fundamental bench mark chamber to protect the reference marks of the Ordnance Survey from interference or damage.""], ""other"": [""Inv. 1914-155""]}","{""object_names"": [""Two covers for the lower reference point of a fundamental bench mark""], ""makers"": [], ""organisations/institutions"": [], ""dates"": [""1914""], ""places"": [], ""descriptions"": [""Surveying bench marks; bench marks""], ""other"": []}"
16,12,5,1,1,1,0,2,0,2,1,0,0,5,3,1,0,"{""object_names"": [], ""makers"": [""Ordnance Survey""], ""organisations/institutions"": [""Ordnance Survey"", ""The Second Geodetic Levelling of England and Wales""], ""dates"": [""1912-1921"", ""1931""], ""places"": [], ""descriptions"": [""secondary marks are fixed on lines of first order levelling"", ""consist of a gun-metal plate set flush with the surface of a wall, and having an identification number cast on it"", ""The reference point, to which the published altitude corresponds, is the top of the \""broad arrow.\"""", ""In levelling, the foot of the levelling staff is brought to the same altitude as this point with the aid of a detachable bracket and a small spirit-level."", ""See \""The Second Geodetic Levelling of England and Wales, 1912-1921,\"" p. 14, Plate XI.\u2014Ordnance Survey, 1931.""], ""other"": [""Inv. 1914-149""]}","{""object_names"": [], ""makers"": [], ""organisations/institutions"": [], ""dates"": [], ""places"": [], ""descriptions"": [""for second order triangulation"", ""Bench mark in wood block"", ""Surveying bench marks; bench marks""], ""other"": []}"
17,8,11,1,2,1,1,1,1,1,1,0,1,3,4,1,1,"{""object_names"": [""BENCH MARK BRACKET""], ""makers"": [], ""organisations/institutions"": [""Ordnance Survey""], ""dates"": [], ""places"": [], ""descriptions"": [""adjustable bracket is used for supporting the levelling staff at a secondary bench mark on the lines of the first order levelling"", ""bracket is hooked on to the bench mark"", ""surface, upon which the levelling staff is placed, is made level and in agreement with the reference point by means of the adjusting screw and the spirit level""], ""other"": [""Inv. 1914-150""]}","{""object_names"": [""Bracket for use with level on bench mark"", ""Surveying bracket - structural element; bench mark; bracket - structural element; bench mark""], ""makers"": [""Unknown maker""], ""organisations/institutions"": [], ""dates"": [], ""places"": [""United Kingdom""], ""descriptions"": [""Adjustable stave support with spirit level for use with secondary bench mark"", ""With brass cannister""], ""other"": []}"
18,11,10,1,2,0,1,1,1,1,1,0,1,7,3,1,1,"{""object_names"": [""BENCH MARK BRACKET""], ""makers"": [], ""organisations/institutions"": [""Ordnance Survey""], ""dates"": [""1922""], ""places"": [], ""descriptions"": [""old type of angle iron used to support the levelling staff at an Ordnance Survey broad arrow bench mark"", ""short arm which is fitted into the horizontal groove engraved above the broad arrow"", ""longer inclined supporting arm which abuts against the wall in which the mark was notched"", ""series of circular depressions are sunk in the upper face to receive the stud on the base of the staff"", ""lower level of the depressions being a horizontal plane passing through the centre line of the engraved groove"", ""type of supporting bracket was superseded by the modern one represented in the next example"", ""broad arrow""], ""other"": [""Inv. 1914-423""]}","{""object_names"": [""Bench mark"", ""Surveying bracket - structural element"", ""bracket - structural element""], ""makers"": [""Unknown maker""], ""organisations/institutions"": [], ""dates"": [""1914""], ""places"": [""United Kingdom""], ""descriptions"": [""Angle iron to support levelling stave"", ""for use with bench mark"", ""bench mark""], ""other"": [""Science Museum Group Collections Online Entry""]}"
19,11,5,1,2,1,0,1,0,1,1,0,0,6,2,1,0,"{""object_names"": [""BENCH MARK BRACKET""], ""makers"": [""Ordnance Survey""], ""organisations/institutions"": [""Ordnance Survey""], ""dates"": [""1922""], ""places"": [], ""descriptions"": [""modern type of bracket is used to support the levelling staff at a broad arrow bench mark of the Ordnance Survey"", ""broader than the adjacent earlier type"", ""has an adjusting screw threaded through its inclined arm"", ""a box level mounted on its horizontal arm"", ""the end of the screw butts against the vertical wall in which the mark is engraved"", ""the inclination of the upper arm can be adjusted level by turning the screw"", ""The flat base of the metal shoe forming the end of the staff rests on a stud projecting from the top of the bracket"", ""the top of the stud being level with the centre line of the mark when the bracket is horizontal""], ""other"": [""Inv. 1914-424""]}","{""object_names"": [""Angle iron to support levelling staff at bench mark"", ""Surveying bracket - structural element; bench mark; bracket - structural element; bench mark""], ""makers"": [], ""organisations/institutions"": [], ""dates"": [""1914""], ""places"": [], ""descriptions"": [""structural element""], ""other"": []}"
20,8,9,1,2,1,1,1,1,1,1,0,1,3,2,1,1,"{""object_names"": [""BENCH MARK""], ""makers"": [""U.S. Coast and Geodetic Survey""], ""organisations/institutions"": [""U.S. Coast and Geodetic Survey""], ""dates"": [""1920""], ""places"": [], ""descriptions"": [""This brass disc is fixed with its face flush with the building in which it is set or with its stem vertical in rock or cement."", ""The short line in the centre is placed horizontal and serves as the reference point."", ""See U.S. Coast and Geodetic Survey Special Publication, No. 26, p. 117.""], ""other"": [""Inv. 1920-76""]}","{""object_names"": [""Bench mark"", ""Surveying bench mark""], ""makers"": [""Unknown maker""], ""organisations/institutions"": [], ""dates"": [""1914""], ""places"": [""American"", ""United States""], ""descriptions"": [""Bronze bench mark"", ""bench mark 1914""], ""other"": []}"
21,9,9,1,2,1,1,1,1,1,1,1,1,4,2,1,1,"{""object_names"": [""BENCH MARK, First Order""], ""makers"": [""French Government""], ""organisations/institutions"": [""Nivellement G\u00e9n\u00e9ral de la France""], ""dates"": [], ""places"": [], ""descriptions"": [""This mark is used at first-order stations of the Nivellement G\u00e9n\u00e9ral de la France."", ""It consists of a metal bolt having a grooved shank and a rectangular plate head with a recess to receive a plate, on which the height of the station point is printed."", ""The reference point is the top of a spherical boss on a horizontal platform which projects from the plate.""], ""other"": [""Inv. 1914-109""]}","{""object_names"": [""bench mark"", ""Surveying bench mark""], ""makers"": [""Unknown maker""], ""organisations/institutions"": [""Nivellement General de la France""], ""dates"": [""1914""], ""places"": [""France""], ""descriptions"": [""Cast iron bench mark with ceramic marker inserts"", ""used in levelling of the First Order Nivellement General de la France""], ""other"": [""unsigned""]}"
22,9,9,1,2,1,1,1,1,1,1,1,1,4,2,1,1,"{""object_names"": [""BENCH MARK""], ""makers"": [], ""organisations/institutions"": [], ""dates"": [], ""places"": [], ""descriptions"": [""Second Order"", ""metal bolt with a grooved shank and cylindrical head"", ""on the top of the curved surface of the head is a small spherical boss, the top of which is the reference point"", ""The height of this point is printed on a plate embedded in the cylindrical head""], ""other"": [""Inv. 1914-110""]}","{""object_names"": [""bench mark"", ""Surveying bench mark""], ""makers"": [""Unknown maker""], ""organisations/institutions"": [], ""dates"": [], ""places"": [], ""descriptions"": [""Cast iron"", ""first order""], ""other"": [""1910-1914""]}"
23,10,6,1,2,1,0,1,1,1,1,0,0,5,2,1,0,"{""object_names"": [""BENCH MARK""], ""makers"": [""Survey of Egypt""], ""organisations/institutions"": [], ""dates"": [], ""places"": [], ""descriptions"": [""iron bolt 21 cm. long"", ""hexagonal head 5 cm. thick and 11 cm. wide"", ""cemented into a vertical wall or solid rock"", ""point of reference is the top of a bronze hemispherical stud 1 cm. high, on the top of the upper face of the head""], ""other"": [""Inv. 1920-628""]}","{""object_names"": [""bench mark""], ""makers"": [], ""organisations/institutions"": [], ""dates"": [], ""places"": [], ""descriptions"": [""cast iron and bronze"", ""Surveying bench mark""], ""other"": []}"
24,8,5,1,2,0,0,1,1,1,1,0,0,4,1,1,0,"{""object_names"": [""BENCH MARK""], ""makers"": [], ""organisations/institutions"": [""Survey of Egypt""], ""dates"": [""1922""], ""places"": [], ""descriptions"": [""Second Order"", ""This mark is similar to the adjacent first order bench mark, except that it has a cylindrical head, of which the highest point is the reference point.""], ""other"": [""Inv. 1920-629""]}","{""object_names"": [""Surveying bench mark"", ""bench mark""], ""makers"": [], ""organisations/institutions"": [], ""dates"": [""c. 1920""], ""places"": [], ""descriptions"": [""Second Order bench mark""], ""other"": []}"
25,8,7,1,1,1,1,1,1,1,1,0,0,3,2,1,1,"{""object_names"": [], ""makers"": [""Geodetic Survey of Canada""], ""organisations/institutions"": [], ""dates"": [], ""places"": [], ""descriptions"": [""Bronze tablets of this type are used by the Geodetic Survey of Canada to mark the station points of the Precise Levelling Network."", ""The tablet is a circular disc of diameter 3 in., provided with a corrugated, fox-wedged shank 3 in. long, for fixing it into rock or concrete."", ""The centre of the disc is engraved with a cross, and a number can be stamped on it with a die for reference to the record book, which contains the particulars of the corresponding station.""], ""other"": [""Inv. 1922-723""]}","{""object_names"": [], ""makers"": [""Unknown maker""], ""organisations/institutions"": [], ""dates"": [], ""places"": [], ""descriptions"": [""Surveying bench mark""], ""other"": []}"
26,15,6,2,1,1,0,1,1,1,1,2,1,6,1,2,1,"{""object_names"": [""photographs of triangulation beacons"", ""quadripod triangulation beacons""], ""makers"": [""Major G. G. Waterhouse, R.E.""], ""organisations/institutions"": [""R.E.""], ""dates"": [], ""places"": [""Ado Rock"", ""Awba Hill""], ""descriptions"": [""These two photographs illustrate the construction of triangulation beacons during the survey of Southern Nigeria, 1910\u201312."", ""The beacons are formed of tree-trunks and branches built up into a four-sided pyramid, the upper part of which is roofed with brushwood to form a prominent land-mark, and at the same time to protect the surveying instruments when taking bearings from the station."", ""A pole carrying at its upper end a white flag is fixed to the top of the beacon to render it more conspicuous."", ""The right hand photograph shows the framework of the beacon built up, but the roof not yet added."", ""The left hand photograph shows a completed beacon, with a heliograph, theodolite and plane table standing beneath it."", ""The ground in the vicinity has been carefully cleared of obstacles to view.""], ""other"": [""1910-12"", ""Inv. 1921-306""]}","{""object_names"": [], ""makers"": [], ""organisations/institutions"": [], ""dates"": [], ""places"": [""Nigeria""], ""descriptions"": [""Surveying photographs; photographs""], ""other"": [""Two photographs of triangulation beacons""]}"
27,21,7,2,2,1,1,3,0,3,1,3,0,7,1,2,2,"{""object_names"": [""SEXTANT-HELIOTROPE OR VIZEHELIOTROP""], ""makers"": [], ""organisations/institutions"": [""Admiralty"", ""Altona-Hanover meridian arc"", ""Museum""], ""dates"": [""1829"", ""1914-305"", ""1935""], ""places"": [""Luneburg"", ""Hamburg"", ""G\u00f6ttingen""], ""descriptions"": [""In October, 1818, C. F. Gauss was observing at Luneburg, a station of the Altona-Hanover meridian arc, and noted in his observation book that the triangulation mark in Hamburg was difficult to see, but that the windows, lit up by the rays of the setting sun, facilitated the directing of his theodolite. This suggested to him the construction of a heliotrope, of which the sextant-heliotrope, made in 1829, was the first type. The telescope is mounted on a circle capable of rotation about a horizontal axis, and can itself revolve about the centre of the circle. This circle has no divisions and is only for giving a slow motion to the telescope by means of a screw. Through a sleeve on the telescope passes a brass rod carrying a mirror perpendicular to it; the distances of the mirror and the sleeve from the axis of rotation of the telescope being equal. In order to send a ray of sunlight in a specified direction, the instrument is set up so that the mark is in the centre of the field when the axis of the telescope is normal to the plane of the mirror. If, then, the telescope is directed to the sun and follows it continuously, the mirror will reflect its light on to the mark. On account of its somewhat complicated form, this type of heliotrope was very shortly superseded by the adjacent double-mirror type. (See Gauss, Werke, Bd. IX, pp. 461-484, and Poggendorff\u2019s Annalen der Physik, 1829, Bd. XVII, p. 83.)"", ""the telescope is mounted on a circle capable of rotation about a horizontal axis, and can itself revolve about the centre of the circle"", ""This circle has no divisions and is only for giving a slow motion to the telescope by means of a screw"", ""Through a sleeve on the telescope passes a brass rod carrying a mirror perpendicular to it"", ""the distances of the mirror and the sleeve from the axis of rotation of the telescope being equal"", ""the instrument is set up so that the mark is in the centre of the field when the axis of the telescope is normal to the plane of the mirror"", ""On account of its somewhat complicated form, this type of heliotrope was very shortly superseded by the adjacent double-mirror type.""], ""other"": [""Inv. 1914-305"", ""S.M. 1935""]}","{""object_names"": [], ""makers"": [], ""organisations/institutions"": [], ""dates"": [], ""places"": [], ""descriptions"": [""as invented by C.F. Gauss""], ""other"": [""Surveying heliotypes; heliotypes""]}"
28,20,12,2,3,1,1,3,1,3,1,3,2,6,2,2,2,"{""object_names"": [""DOUBLE-MIRROR HELIOTROPE, OR SPIEGELKREUZ-HELIOTROP"", ""sextant-heliotrope""], ""makers"": [], ""organisations/institutions"": [""Admiralty"", ""Gauss, Werke"", ""W. Jordan, Handbuch der Vermessungskunde""], ""dates"": [""1922"", ""March, 1820"", ""1822.""], ""places"": [""G\u00f6ttingen"", ""East Prussian arc""], ""descriptions"": [""Plate I, Fig. 1, p. 15"", ""Lent by the Admiralty"", ""described this heliotrope as being more convenient, simpler, and having a larger reflecting surface than his sextant-heliotrope which it superseded."", ""In its turn it was replaced by Bertram\u2019s heliotrope, which Bessel used on his East Prussian arc."", ""For use the telescope was directed on the triangulation mark, the small central mirror being turned parallel to the axis of the telescope. Then the double-mirror was turned until its axis was at right angles to a plane containing the sun, the instrument and the distant mark. This is facilitated by the disc beside the mirror, upon which its shadow is a fine line only, the mirror is in position. Lastly, the double mirror is rotated until the sun\u2019s image as reflected by the central mirror is seen in the telescope, when the outer mirror reflects the sun\u2019s light on to the distant mark."", ""(See Gauss, Werke, Bd. IX, pp. 461-483, and W. Jordan, Handbuch der Vermessungskunde, Bd. III, p. 33.)""], ""other"": [""Inv. 1914-376"", ""S.M. 1936""]}","{""object_names"": [""Double-mirror heliotrope (Spiegelkreutz-heliotrop) for geodetic work"", ""Surveying heliotrope"", ""heliotrope""], ""makers"": [], ""organisations/institutions"": [], ""dates"": [""1820 - 1825""], ""places"": [""Altona-Hanover arc of meridian""], ""descriptions"": [""designed and used by C.F. Gauss on the Altona-Hanover arc of meridian 1820 - 1825."", ""1822 Rumpf (maker)""], ""other"": []}"
29,10,6,2,2,1,0,1,1,1,1,0,0,4,1,1,1,"{""object_names"": [""heliostat""], ""makers"": [""Ordnance Survey""], ""organisations/institutions"": [], ""dates"": [""1922""], ""places"": [], ""descriptions"": [""used for reflecting the sun\u2019s rays to an observing station"", ""Three sizes were in use by the Ordnance Survey in the principal triangulation"", ""the largest were rectangular and measured 20 in. by 16 in., the other two were circular and were 12 in. and 5 in. diam. respectively"", ""In each case the mirror, having been centred over the triangulation mark, was moved by hand so as to follow the sun and to reflect its light through a ring placed in the line between the heliostat, or the reflecting station, and the observing station. The ring was placed in position by means of a small theodolite.""], ""other"": [""Inv. 1914-425""]}","{""object_names"": [], ""makers"": [], ""organisations/institutions"": [], ""dates"": [""mid 19th century"", ""1840-1880"", ""1801-1900""], ""places"": [], ""descriptions"": [""Surveying heliotrope""], ""other"": [""Heliotrope as used by Ordnance Survey, mid 19th century, 1840-1880"", ""Surveying heliotrope; heliotrope""]}"
