RowIndex,object_number,secondary_identifier,whole_or_part,item_count,collection,legal_status,object_name,description,location,hazards,makers_and_associated_people,place_made,date_made,materials,measurements,interpretation,interpretation_source,interpretation_date
10,14,Inv. 1920-630,whole,1.0,,donated,GEODETIC TRIANGULATION STATION MARK,"This brass bolt forms the station mark at a geodetic station of the Survey of Egypt. It is provided with two saw-cuts intersecting at right angles, and is cemented into a concrete block in the ground. Accurately built into the concrete block is an iron cylinder filled with concrete, having gaps in the bottom so that the mark can be seen. A brass and cast iron tribrach (see Cat. No. 14) is accurately centred over the mark and cemented in the top of the pillar. Upon this tribrach the theodolite rests when sighting to the station, whilst to its centre is screwed a heliograph or lamp when sighting to the station.",,,,,,,,,,
11,1920-627,,whole,1.0,,donated,SELF-CENTRING GEODETIC STATION TRIBRACH,"This brass tribrach is built into a masonry pier and accurately centred over the concealed mark at geodetic stations in Egypt. It has three radial V-shaped grooves at angles of 120° with one another, and forms a self-centring stand for the three feet of a theodolite or signal lamp.",,,,,,,,,,
12,1914-152,,whole,1.0,,donated,BENCH MARK,"First Order. This bolt forms the upper reference point at a fundamental bench mark on the first order levelling lines of the Ordnance Survey. It is fixed in the top of a granite block forming a pillar 12 in. high, and is the mark for use in all ordinary circumstances, its level being recorded on the topographical maps.",,,,,,,,,,
13,1914-151,,whole,1.0,,donated,BENCH MARK,First Order. This bolt forms one of the two concealed reference points at a fundamental bench mark of the Ordnance Survey. It is set in rock concrete 3 ft. below ground in a concrete recess 3 ft. square by 1 ft. 9 in. deep.,,,,,,,,,,
14,1914-153,,whole,1.0,,donated,BENCH MARK NAME PLATE,This plate is affixed to the granite pillar of a fundamental bench mark of the Ordnance Survey.,,,,,,,,,,
15,1914-155,,whole,1.0,,donated,COVER OF REFERENCE BENCH MARKS,The cover is placed below ground in a fundamental bench mark chamber to protect the reference marks of the Ordnance Survey from interference or damage.,,,,,,,,,,
16,,Inv. 1914-149,whole,1.0,,donated,SECONDARY BENCH MARK,"Secondary marks are fixed on lines of first order levelling. These consist of a gun-metal plate set flush with the surface of a wall, and having an identification number cast on it. The reference point, to which the published altitude corresponds, is the top of the ""broad arrow."" In levelling, the foot of the levelling staff is brought to the same altitude as this point with the aid of a detachable bracket and a small spirit-level.",,,,,,,,,,
17,1914-150,Inv. 1914-150,whole,1.0,,donated,BENCH MARK BRACKET,"This adjustable bracket is used for supporting the levelling staff at a secondary bench mark on the lines of the first order levelling of the Ordnance Survey. The bracket is hooked on to the bench mark, and the surface, upon which the levelling staff is placed, is made level and in agreement with the reference point by means of the adjusting screw and the spirit level.",,,,,,,,,,
18,1914-423,,whole,1.0,,loaned,BENCH MARK BRACKET,"An old type of angle iron used to support the levelling staff at an Ordnance Survey broad arrow bench mark. It has a short arm which is fitted into the horizontal groove engraved above the broad arrow, and a longer inclined supporting arm which abuts against the wall in which the mark was notched. A series of circular depressions are sunk in the upper face to receive the stud on the base of the staff, the lower level of the depressions being a horizontal plane passing through the centre line of the engraved groove.",,,,,,,,,,
19,1914-424,,whole,1.0,,loaned,BENCH MARK BRACKET,"This modern type of bracket is used to support the levelling staff at a broad arrow bench mark of the Ordnance Survey. It is broader than the adjacent earlier type, and has an adjusting screw threaded through its inclined arm and a box level mounted on its horizontal arm; the end of the screw butts against the vertical wall in which the mark is engraved, and the inclination of the upper arm can be adjusted level by turning the screw. The flat base of the metal shoe forming the end of the staff rests on a stud projecting from the top of the bracket, the top of the stud being level with the centre line of the mark when the bracket is horizontal.",,,,,,,,,,
20,1920-76,,whole,1.0,,donated,BENCH MARK,This brass disc is fixed with its face flush with the building in which it is set or with its stem vertical in rock or cement. The short line in the centre is placed horizontal and serves as the reference point.,,,,,,,,,,
21,1914-109,,whole,1.0,,donated,BENCH MARK,"First Order. This mark is used at first-order stations of the Nivellement Général de la France. It consists of a metal bolt having a grooved shank and a rectangular plate head with a recess to receive a plate, on which the height of the station point is printed. The reference point is the top of a spherical boss on a horizontal platform which projects from the plate.",,,,,,,,,,
22,1914-110,,whole,1.0,,donated,"BENCH MARK, Second Order","A metal bolt with a grooved shank and cylindrical head; on the top of the curved surface of the head is a small spherical boss, the top of which is the reference point. The height of this point is printed on a plate embedded in the cylindrical head.",,,,,,,,,,
23,1920-628,,whole,1.0,,donated,BENCH MARK,First Order mark consisting of an iron bolt with a hexagonal head. It is cemented into a vertical wall or solid rock. The point of reference is the top of a bronze hemispherical stud on the top of the upper face of the head.,,,,,,,,,,
24,1920-629,,whole,1.0,,donated,BENCH MARK,"Second Order. This mark is similar to the adjacent first order bench mark, except that it has a cylindrical head, of which the highest point is the reference point.",,,,,,,,,,
25,1922-723,,whole,1.0,,donated,BENCH MARK,"Bronze tablets of this type are used by the Geodetic Survey of Canada to mark the station points of the Precise Levelling Network. The tablet is a circular disc provided with a corrugated, fox-wedged shank for fixing it into rock or concrete. The centre of the disc is engraved with a cross, and a number can be stamped on it with a die for reference to the record book, which contains the particulars of the corresponding station.",,,,,,,,,,
26,1921-306,,whole,2.0,,donated,PHOTOGRAPHS OF TRIANGULATION BEACONS,"These two photographs illustrate the construction of quadripod triangulation beacons at Ado Rock and Awba Hill stations during the survey of Southern Nigeria, 1910–12. The beacons are formed of tree-trunks and branches built up into a four-sided pyramid, the upper part of which is roofed with brushwood to form a prominent land-mark, and at the same time to protect the surveying instruments when taking bearings from the station. A pole carrying at its upper end a white flag is fixed to the top of the beacon to render it more conspicuous. The right hand photograph shows the framework of the beacon built up, but the roof not yet added. The left hand photograph shows a completed beacon, with a heliograph, theodolite and plane table standing beneath it. The ground in the vicinity has been carefully cleared of obstacles to view.",,,,,,,,,,
27,1914-305,S.M. 1935,whole,1.0,,loaned,SEXTANT-HELIOTROPE OR VIZEHELIOTROP,"The telescope is mounted on a circle capable of rotation about a horizontal axis, and can itself revolve about the centre of the circle. This circle has no divisions and is only for giving a slow motion to the telescope by means of a screw. Through a sleeve on the telescope passes a brass rod carrying a mirror perpendicular to it; the distances of the mirror and the sleeve from the axis of rotation of the telescope being equal. In order to send a ray of sunlight in a specified direction, the instrument is set up so that the mark is in the centre of the field when the axis of the telescope is normal to the plane of the mirror. If, then, the telescope is directed to the sun and follows it continuously, the mirror will reflect its light on to the mark.",,,,,,,,,,
28,1914-376,S.M. 1936,whole,1.0,,loaned,"DOUBLE-MIRROR HELIOTROPE, OR SPIEGELKREUZ-HELIOTROP","A heliotrope for use in triangulation. For use the telescope was directed on the triangulation mark, the small central mirror being turned parallel to the axis of the telescope. Then the double-mirror was turned until its axis was at right angles to a plane containing the sun, the instrument and the distant mark. This is facilitated by the disc beside the mirror, upon which its shadow is a fine line only, the mirror is in position. Lastly, the double mirror is rotated until the sun’s image as reflected by the central mirror is seen in the telescope, when the outer mirror reflects the sun’s light on to the distant mark.",,,,,,,,,,
29,1914-425,Inv. 1914-425,whole,1.0,,loaned,HELIOTROPE,"This instrument, sometimes also called a heliostat, was used for reflecting the sun’s rays to an observing station. Three sizes were in use by the Ordnance Survey in the principal triangulation; the largest were rectangular and measured 20 in. by 16 in., the other two were circular and were 12 in. and 5 in. diam. respectively. In each case the mirror, having been centred over the triangulation mark, was moved by hand so as to follow the sun and to reflect its light through a ring placed in the line between the heliostat, or the reflecting station, and the observing station. The ring was placed in position by means of a small theodolite.",,,,,,,,,,
30,1911-155,,whole,1.0,,donated,HELIOGRAPH,A brass surveying compass with,,,,,,,,,,
31,1914-238,,whole,1.0,,loaned,ACETYLENE SIGNAL LAMP,"This lamp is an acetylene projector designed by Mr. G. T. McCaw for use in trigonometrical surveys. It was first used in the measurement of an arc of meridian in Uganda, and later in the Royal Siamese Survey Department. For work by day a heliograph was attached to the front of the instrument, and projected its beam of sunlight through a hole cut in a board nailed to a post fixed from 10 to 20 ft. in front of the instrument. This was found less confusing to the native assistants in Rhodesia and Uganda than the mirrors of a self-contained heliograph such as is ordinarily employed in Army signalling.",,,,,,,,,,
32,1923-10,,whole,1.0,,donated,ELECTRIC SIGNAL LAMP,"This electric lamp is used at stations of the Primary Triangulation of Canada to mark the station point during night observations. It is visible at distances up to 130 miles. The lamp is of the type used for motor-car headlights, and has a parabolic reflector behind the bulb. It is mounted within a wooden frame which can be supported upon the box within which it is packed for travelling, and can be adjusted upon this box by means of an elevating screw. The top of the frame has metal V-s attached to support the telescope used in aligning the lamp upon the observing station. Two bulbs of different sizes are supplied with the lamp for use at smaller and larger distances respectively. They are illuminated by current supplied by a battery of dry cells. An electrically controlled time-switch can be connected in the circuit to light automatically the lamps at regular intervals.",,,,,,,,,,
33,1916-77,Inv. 1916-77,whole,1.0,,donated,PEDOMETER,"This instrument, for registering the number of paces made by the person carrying it, resembles a watch in size, appearance and general details of construction. The ""escapement"" is, however, not actuated by a pendulum or balance wheel, but by a rocking lever and spring pawl which engages in a ratchet wheel. The lever is depressed by the forward movement of the wearer's leg, which stretches a connecting cord attached to the split ring at the top of the instrument. This disengages the spring pawl momentarily and permits one tooth of the ratchet wheel to slip past its point. As the motion of the observer's leg slackens the tension in the cord, a counter spring forces the lever into its former position ready for the next forward movement. The ratchet wheel thus moves one tooth at every alternate stride of the wearer, and is connected with the pinion wheel train, dials and pointers which record the steps taken. There are four such dials and pointers, for the units, hundreds, thousands and ten thousands respectively, the units dial having 50 graduations and its pointer moving over one division every alternate pace of the observer.",,,,,,,,,,
34,15814,Inv. 1916-82,whole,1.0,,donated,PEDOMETER,"The cord which is attached to the observer's leg and actuates the rocking lever, is also exhibited; it passes over a small pulley wheel mounted in the head of the pedometer. The main dial in this instrument has its divisions numbered in two sets, and a pointer corresponding to each set. The outer set records the unit paces, and the inner set the tens. A second dial and pointer registers the thousands up to twelve. The units pointer moves over two divisions at a time, as it is only moved at every alternate step of the observer.",,,,,,,,,,
35,1911-182,Inv. 1911-182,whole,1.0,,donated,PEDOMETER,"This is a late 18th century pedometer, of a construction less sensitive than the adjacent one by the same makers. The rocking lever is here attached to a pin fitting across the top of the case, and the long hook is mounted upon the same pin, so as to embrace it tightly. As the hook is swung by the motion of the person carrying the instrument, the pin rotates and causes the lever to rock. A two-pronged spring pawl is fixed to the lever at its upper end and engages the teeth of a ratchet wheel at its lower end. As the lever rocks, the pawl causes the ratchet to slip a tooth, and thus turns a pinion wheel mounted on the same axis. The pinion gears in the train of wheels which record the paces taken. As only alternate paces are recorded, the dials and pointers are arranged accordingly. Miles and decimal parts of a mile are registered on three dials, the instrument recording up to 12 miles at intervals of one thousandth of a mile. The long hook serves to suspend the pedometer from the fob so that it rests against the thigh, and thus gets the desired swing as the wearer walks.",,,,,,,,,,
36,1912-200,Inv. 1912-200,whole,1.0,,donated,PEDOMETER,"A pedometer with a more delicate escapement, actuated by the sudden stoppage in the motion of the wearer’s body at each step. The long hook is used to suspend the instrument from the fob of the person carrying it. The escapement is effected by the withdrawal of a spring pawl, attached to one end of a rocking lever, from the teeth of a small ratchet wheel. The teeth are very fine, so that the pawl slips over four teeth at each oscillation. The lever is normally kept in the ""down"" position by a fairly strong spring, but the pull of this spring is considerably reduced by slightly raising the long hook projecting from the top. The lower end of this hook is fixed to a chain wound round a drum mounted on the same spindle as the rocking lever. The hook is raised when the instrument is fitted in its case by inserting a pin in a hole in the lower end of the hook, the ends of the pin resting in brackets on the top of the case. In this position, the rocking lever is just balanced, and is very sensitive to small jerks. The instrument has three dials and pointers registering miles, tenths, and thousandths of a mile. The pointer of the thousandths dial is connected to the ratchet wheel and so geared that it moves 176 times in one revolution, i.e. in one tenth of a mile. The pedometer is mounted separately from its case for exhibiting the movement mechanism.",,,,,,,,,,
37,1916-83,,whole,1.0,,donated,COMBINED PEDOMETER AND WATCH,"This instrument was made about 1800 and consists of a pedometer and a watch mounted in the same case and having a common face, with separate dials and pointers. The pedometer movement is effected by the tension of a string, which is attached at one end to the wearer’s leg, and at the other to a delicately poised rocking lever controlling by its oscillations the engagement of a spring pawl in a ratchet wheel. The large pedometer dial is graduated to record every hundred double paces; there is a smaller one to register every ten double paces, and a third to record each double pace.",,,,,,,,,,
38,6078,Inv. 1916-81,whole,1.0,,donated,PEDOMETER MOVEMENT,"The movement here exhibited is of the type invented by W. Payne in 1831 and still used in modern pedometers. The escapement of the recording ratchet wheel is effected by the oscillations of a horizontal anchor-shaped pendulum, whose moment about its pivot is just more than balanced by the pressure of a control spring. The sudden jerk caused by the stoppage of the downward motion of the wearer’s body at each step is sufficient to make the pendulum oscillate. A spring pawl, fixed at one end to the pendulum arm, engages at its other end the teeth of the ratchet wheel. A counter spring pawl, pivoted in the bed of the instrument, opposes the thrust of the former with a force sufficient to damp the rotary movement of the ratchet. (This opposing spring is missing in the instru- ment shown.) The teeth of the ratchet are very fine, so that as the pendulum moves from the upper stop to the lower, the pawl passes over several teeth, the number depending upon the adjustment of the lower stop, which is threaded in a fixed block. By this adjustment, the indication of the recording pinion can be varied to correspond roughly to the length of the observer's stride. The ratchet wheel is geared to a train of pinion wheels which record the distance travelled in miles and furlongs. There is only one dial and pointer, the former graduated in miles up to twelve, with eight sub-divisions to each mile. The numbering of the main graduations is like that used in watches.",,,,,,,,,,
39,1875-25,Inv. 1875-25,whole,1.0,,,PEDOMETER,"This instrument has the movement invented by W. Payne in 1831 and shown in the preceding exhibit. The movement of the horizontal pendulum is restricted by stops, the lower one being adjustable to allow approximately for the variation in the length of stride. The instrument is carried in the waistcoat pocket and kept in a vertical position by means of the spring clip attached to its ring. It has a single dial, graduated in miles and quarters up to 12 miles. Fractions of quarter-miles can be estimated by the position of the pointer between the graduations.",,,,,,,,,,
40,918,Inv. 1914-895,whole,1.0,S.M.,lent,WAYWISER,"The Odometer, Waywiser or Perambulator has been employed since the days of the Romans for measuring distances by counting and recording the revolutions of a wheel of known circumference. It has a brass wheel of 1.5 ft. circumference geared to a registering mechanism furnished with dials and pointers which record the number of links, poles, chains, furlongs, and miles traversed. The bearings for the wheel axle are fixed to metal brackets screwed to the case containing the registering mechanism, which itself is fixed at the lower extremity of a long wooden handle. At one end of the axle is a small pinion wheel the teeth of which engage in those of a perpendicular pinion mounted on the lower end of a brass rod, which is pivoted at its lower end in the axle bearing block and kept parallel to the supporting bracket by guides. The upper end of this rod is geared to the case containing the registering mechanism. This has two pointers and dials, the outer one divided to read links and having divisions both every ten links and every pole, whilst the inner dial is graduated in miles and half furlongs up to four miles.",,,,,,,,,,
41,1906-40,S.M. 939.,whole,1.0,,,PERAMBULATOR,"An improved form of the adjacent Waywiser, made by Adams. The wheel is much larger, its circumference being half a pole, and it is carefully mounted in its bearings so as to reduce friction and shake. The mechanism differs slightly from that in the Waywiser. The motion of the rotating axle of the wheel is transmitted to a perpendicular shaft running along the top to the case containing the recording mechanism by a pair of bevel wheels, and from the shaft to the recording mechanism by a worm and worm-wheel. One of the bearing forks is hinged at the top to the case containing the recording mechanism. The outer dial has a diam. of 7 in. and is graduated in yards and poles, its pointer making one revolution every furlong. An inner dial, of 5 in. diam. is graduated in furlongs and miles up to 10 miles and is read by a second index.",,,,,,,,,,
42,1914-111,Inv. 1914-111,whole,1.0,,loaned,SLEDGE METER,"A measuring wheel constructed specially for use on frozen snow surface and ice. The instrument has a trailing wheel of diam. 18 in. made of steel, with an aluminium band on its rim to prevent snow from clinging to the surface and with steel pegs fitted into the rim so as to enable the wheel to roll without slipping on ice surfaces. The wheel is mounted in ball bearings upon a metal fork to which the recording mechanism is attached. The gearing is completely enclosed and the dial gives reading in geographical miles, subdivided to 25 yd. The fork is fixed to a wooden bar to which at the other end is attached a cross-head connected to the bar by a universal joint. This permits the instrument to follow the track of a sledge without partaking of its lateral movements.",,,,,,,,,,
43,1872-78,,whole,1.0,,,GUNTER’S CHAIN,"The chain most generally used in England for land measurement is named after its inventor, Edmund Gunter, and was first employed about 1620. It has a length of 66 ft. made up of 100 links, so that 10 square chains equal one acre. The example shown is made of iron, with brass handles, as was formerly the custom. This type has been replaced by the chain made of steel wire, of No. 8 or No. 12 B.W.G. which stretches much less than an iron chain after use. In all Gunter’s chains, brass tellers are inserted at every 10 links, for convenience in estimating fractional lengths.",,,,,,,,,,
44,1914-845,,whole,1.0,,loaned,LAND SURVEYOR’S STEEL CHAIN,"This chain, which is 66 ft. long and has 100 links, is representative of the modern land surveyor’s chain. A central swivel is fitted to obviate kinks when the chain is twisted in use. When not in use, the chain is folded up in the manner shown, and bound together with a leather strap.",,,,,,,,,,
45,1914-846,,whole,1.0,,loaned,STEEL MEASURING BAND,"A steel band preferred to a chain by many land surveyors because it is lighter and preserves its length better. It is 50 ft. long and is divided every foot, the two terminal feet being subdivided into inches. The divisions are marked by brass studs of various sizes, an oval plate being substituted for the stud at every 10 ft. and marked by perforation to show the length from the nearer end. The handles are made of brass, with swivel joints. The whole is wound up in a metal case which has a narrow slit for inserting the handle at one end. A strap is attached to the case for carrying it.",,,,,,,,,,
46,1914-847,Inv. 1914-847,whole,1.0,,loaned,STEEL MEASURING TAPE,"An accurately graduated steel tape of this type is extensively used for short measurements. This example is graduated throughout in millimetres. When not in use, it is wound up in the leather case as shown.",,,,,,,,,,
47,1912-244,Inv. 1912-244,whole,1.0,,donated,QASSABA MEASURING ROD,,,,,,,,,,,
48,1914-257,,whole,,,,WOODEN MEASURING RODS,"Wooden rods (Messlatten, Messtangen) similar to the pair here shown are commonly used in Germany in land-measurement, and have been in use in Würtemburg for several centuries.",,,"[{'name': 'O. Fennel Söhne', 'role': 'maker'}]",,,['wood'],[],"Commonly used in Germany in land-measurement, and have been in use in Würtemburg for several centuries.",,
49,1914-258,,whole,2.0,,,WOODEN MEASURING RODS,"Rods of square section with wedge-shaped metal ends. In one rod the metres are painted alternately red and white; in the other, black and white. Each rod is graduated in decimetres.",,,"[{'name': 'O. Fennel Söhne, Cassel', 'role': 'maker'}]",Cassel,,"['wood', 'metal']",['5 m. long'],Their length is verified before use by laying each rod on a test-bed provided with chisel-shaped stops at a known distance apart. By measuring the interval between the rod and the test-bed with a measuring wedge the length of the rod is obtained.,,
50,1914-259,,whole,1.0,,,STEEL MEASURING WEDGE,"A steel measuring wedge of uniformly varying thickness is inserted between the two terminals to accurately measure the small distance between one end of a wooden measuring rod and the end of a standard. The exhibited wedge has a uniform variation in thickness of 1 mm. per 1 cm. of its length. Its length is graduated in millimetres, reading by estimation to tenth-millimetres, and thus giving the corresponding thickness to 0·01 mm., within a range of error of 0·01 mm.",,,"[{'name': 'O. Fennel, Cassel', 'role': 'maker'}]",Cassel,,['steel'],"['1 mm. per 1 cm. of its length', '0·01 mm.', '0·01 mm.']",Used for accurately measuring the small distance between one end of a wooden measuring rod and the end of a standard in cadastral surveys.,"""Handbuch der Vermessungskunde,"" Jordan, Bd. II, Section 20",1914
51,1900-156,Inv. 1900-156,whole,1.0,,loaned,STEEL CHAIN,"A steel chain with 100 links, each 1 ft. long. The joints at every 10 ft. are at right angles to the remainder, which permits the chain to be folded so as to fit into a box about 14 in. by 8 in. by 8 in. for transport. Brass plates are attached at the joints to indicate 10 ft. lengths along the chain. In the rough measurement of the Hounslow Heath base, the chain appears to have been simply stretched along the ground, but in the measurement at Romney Marsh it was supported on deal coffers, 20 ft. long, resting on carefully aligned posts driven into the ground every 20 ft. along the base. Thus supported, the chain was stretched by a weight of 28 lb., the temperature being measured by thermometers laid in the coffers near the chain.",,,"[{'name': 'Ramsden', 'role': 'maker'}, {'name': 'General Roy', 'role': 'user'}, {'name': 'Royal Society', 'role': 'lender'}]",,,"['steel', 'brass', 'deal', 'thermometers']","['1 ft. long (each link)', '100 links', '14 in. by 8 in. by 8 in. (box)', '20 ft. long (coffers)', '28 lb. (weight)']","This chain was first used by General Roy in measuring the Hounslow Heath base in 1784. Although it was only used as a preliminary to more precise measurements with both fir and glass rods, General Roy was so impressed by its accuracy that, in measuring the base of verification on Romney Marsh in 1787, he used the chain only, and discarded the wooden and glass rods.",,1784
52,1900-157,,whole,1.0,,loaned,BONING TELESCOPE,A brass surveying compass with,,,"[{'name': 'General Roy', 'role': 'associated person'}]",,,"['brass', 'glass']","['1·2 in. aperture', '13 in. focal length']","Used to sight between two terminal tripods upon boning rods set up at subdivision points. The movable vanes of these rods were adjusted until their index lines lay on the axis of sight of the telescope, thus ascertaining the height of the intermediate tripods. The magnifying power of the eyepiece is small, and the telescope can be focussed down to a few feet.","Phil. Trans. Roy. Soc., 1785",1785
53,1876-1211,,whole,1.0,,donated,PHOTOGRAPH OF STRUVE’S BASE APPARATUS,"The apparatus consists of four wrought iron bars enclosed in wooden cases, supported near the ends on trestles. The chief peculiarity of the bars is the use of spring contact levers. The temperature was measured directly by thermometers whose bulbs rested in cavities in the bar. Struve estimated the mean probable error of his bases as 1 in 7,250,000. Each iron bar is 2 toises (nearly 4 m.) long, and has a square section of 3·4 cm. side. It terminates at one end in a small steel cylinder, having a slightly convex outer face. To the other end is pivoted a lever with unequal arms. On the lower arm is a polished hemisphere, pushed outwards from the bar by a weak spring. The steel cylinder of the adjacent bar makes contact with this hemisphere, and forces the longer arm of the lever to traverse a vertical graduated scale. Any slight variation in length of the bar is correspondingly magnified by the lever on the scale, and can be accurately measured. Two mercury thermometers are placed with their bulbs in recesses in each bar, and serve to measure the temperature directly. There is also a spirit level attached to determine the inclination of the bar.",,,"[{'name': 'W. Struve', 'role': 'designer'}, {'name': 'Pulkowa Observatory', 'role': 'donor'}]",,1817–1855,"['wrought iron', 'wood', 'steel', 'mercury', 'glass']","['2 toises (nearly 4 m.) long', '3·4 cm. side']",Designed by W. Struve and used by him in measuring seven bases of the principal triangulation of Russia. The apparatus is used for accurately measuring variations in length of the bars.,"Encyclopædia Britannica,” XI Edition, Article “ Geodesy.",1902
54,,Inv. 1912-245,whole,1.0,,,MEASURING TAPE,"A measuring tape made of an ""invar"" nickel-steel alloy, containing 35-36% nickel. The tape is just over 100 ft. long, with scales divided to read two-hundredths of a foot at each end. The National Physical Laboratory certificate of examination states its length between zero marks at each end is 100.001 ft. at 58.5° F., under a tension of 10 kg., with an accuracy of 1 in 100,000. The width of the tape is 5 mm. and its thickness 0.5 mm. It is wound upon an aluminium drum of 16 in. diameter, which can rotate upon its pivot.",,,"[{'name': 'J. H. Agar Bough', 'role': 'maker'}, {'name': 'Dr. C. E. Guillaume', 'role': 'discoverer'}, {'name': 'Guillaume et Benoit', 'role': 'author'}]",,,"['nickel-steel alloy', 'aluminium']","['just over 100 ft. long', '100.001 ft. at 58.5° F.', '10 kg. tension', '5 mm. width', '0.5 mm. thickness', '16 in. diam. aluminium drum']","The ""invar"" alloy has a low coefficient of expansion (not greater than 1.0 x 10⁻⁶ per °C), discovered by Dr. C. E. Guillaume in 1896. This property is valuable for geodesy as it minimizes errors in measuring units due to temperature variations. Its low coefficient of expansion is important. ""Invar"" wires or tapes are used universally in measuring bases for triangulation of the first or second order, suspended under a constant tension of about 10 kg., according to Jäderin’s method.","See ""Les nouveaux appareils pour la mesure rapide des bases géodésiques."" Guillaume et Benoit. Paris, 1916.",1916
55,1876-1209,,whole,1.0,,donated,STADIOMETER,"This instrument was designed by Capt. G. H. Blakey, R.N. for determining the distance of a ship on the assumption that the height of its mast is known, and that the mast is perpendicular to the direction of the ship from the observer. It is merely a telescopic sighting tube having a pin-hole aperture and pairs of parallel wires set at known intervals apart near the object end of the tube. The distance of these wires from the aperture is given by the graduated scales on the telescopic tube. In using the instrument, the mast of the distant ship is viewed and the sighting tube telescoped until the mast lies exactly between a pair of wires. On reading the length of the tube, i.e. from aperture to wires, the range of the mast will be in the same ratio to this length as the mast is to the interval between the wires. As these last two lengths are known, the range is readily calculated, or can be obtained directly from the tables supplied with the instrument. Two mutually perpendicular pairs of parallel wires are fitted in the instrument exhibited, at intervals of one tenth and one twentieth of a foot respectively. A table corresponding to the former interval for lengths of masts between 100 and 200 ft., and all possible lengths of sighting tube is printed on the tube and gives the corresponding ranges in yards. For the smaller interval, these ranges are of course to be doubled.",,,"[{'name': 'W. Heath', 'role': 'maker'}, {'name': 'Capt. G. H. Blakey, R.N.', 'role': 'designer'}, {'name': 'Admiralty', 'role': 'donor'}]",,,"['brass', 'glass', 'steel']","['one tenth of a foot', 'one twentieth of a foot', '100 and 200 ft.', 'lengths of sighting tube', 'ranges in yards']","Measurements of distance by this apparatus can only be very approximate owing to the absence of magnification, uncertainty as regards the length of the mast and its inclination to the line of sight, etc.",,
